	TrackID		31
	X-coordinates	Y-coordinates	Time	Curvature	 Perimeter	 	 Intensity 	 	 IntensitySec
	236.63		165.5		51		0.01				99.141		17,391		17,391
	236.28		167.5		52		0.01				99.464		10,636		10,636
	236.28		167.5		52		0.01				99.464		10,636		10,636
	233.25		179.46		53		0.01				101.533		15,518		15,518
	233.25		179.46		53		0.01				101.533		15,518		15,518
	235.56		167.5		54		0.01				98.995		12,572		12,572
	235.56		167.5		54		0.01				98.995		12,572		12,572
	232.42		181.36		55		0.01				101.514		13,126		13,126
	232.42		181.36		55		0.01				101.514		13,126		13,126
	236.76		167.5		56		0.01				98.858		16,774		16,774
	236.76		167.5		56		0.01				98.858		16,774		16,774
	232.05		185.28		57		0.011				102.694		16,071		16,071
	232.05		185.28		57		0.011				102.694		16,071		16,071
	231.28		188.14		58		0.011				102.46		11,021		11,021
	231.28		188.14		58		0.011				102.46		11,021		11,021
	239.05		164.5		59		0.011				98.732		15,383		15,383
	239.05		164.5		59		0.011				98.732		15,383		15,383
	232.31		187.2		60		0.011				103.368		15,578		15,578
	232.31		187.2		60		0.011				103.368		15,578		15,578
	238.59		165.5		61		0.011				98.995		14,736		14,736
	238.59		165.5		61		0.011				98.995		14,736		14,736
	234.08		182.42		62		0.01				103.619		14,989		14,989
	234.08		182.42		62		0.01				103.619		14,989		14,989
	234.57		179.46		63		0.011				103.121		15,672		15,672
	234.57		179.46		63		0.011				103.121		15,672		15,672
	234.25		177.45		64		0.011				101.833		14,511		14,511
	234.25		177.45		64		0.011				101.833		14,511		14,511
	233.69		175.45		65		0.011				100.96		19,865		19,865
	233.69		175.45		65		0.011				100.96		19,865		19,865
	235.8		168.5		66		0.011				99.298		15,050		15,050
	235.8		168.5		66		0.011				99.298		15,050		15,050
	236.63		168.5		67		0.011				99.464		14,300		14,300
	236.63		168.5		67		0.011				99.464		14,300		14,300
	234.21		179.45		68		0.011				102.46		15,054		15,054
	234.21		179.45		68		0.011				102.46		15,054		15,054
	233.17		181.41		69		0.01				102.883		17,956		17,956
	233.17		181.41		69		0.01				102.883		17,956		17,956
	233.68		181.4		70		0.011				103.247		14,503		14,503
	233.68		181.4		70		0.011				103.247		14,503		14,503
	238.96		162.5		71		0.011				98.732		16,317		16,317
	238.96		162.5		71		0.011				98.732		16,317		16,317
	232.39		184.23		72		0.01				103.87		21,957		21,957
	232.39		184.23		72		0.01				103.87		21,957		21,957
	232.06		187.06		73		0.01				102.883		17,482		17,482
	232.06		187.06		73		0.01				102.883		17,482		17,482
	231.69		186.31		74		0.01				104.216		14,442		14,442
	231.69		186.31		74		0.01				104.216		14,442		14,442
	232.18		187.12		75		0.011				102.883		13,797		13,797
	232.18		187.12		75		0.011				102.883		13,797		13,797
	238.16		164.5		76		0.011				98.858		19,922		19,922
	238.16		164.5		76		0.011				98.858		19,922		19,922
	232.43		182.26		77		0.011				100.658		13,929		13,929
	232.43		182.26		77		0.011				100.658		13,929		13,929
	236.02		166.5		78		0.011				99.141		20,093		20,093
	236.02		166.5		78		0.011				99.141		20,093		20,093
	235.59		167.5		79		0.011				99.298		10,145		10,145
	235.59		167.5		79		0.011				99.298		10,145		10,145
	235.24		168.5		80		0.011				99.464		13,681		13,681
	235.24		168.5		80		0.011				99.464		13,681		13,681
	235.04		168.5		81		0.011				99.464		15,700		15,700
	235.04		168.5		81		0.011				99.464		15,700		15,700
	232.83		179.45		82		0.01				102.786		17,011		17,011
	232.83		179.45		82		0.01				102.786		17,011		17,011
	232.79		180.49		83		0.01				103.121		13,847		13,847
	232.79		180.49		83		0.01				103.121		13,847		13,847
	237.58		167.5		84		0.01				99.464		12,810		12,810
