	TrackID: 	01
	ArbritaryUnit	Time	Deformation	Intensity	IntensitySec	Distance-Deformation
	75	1	0.002	71.736	71.736	476.094
	75	2	0.002	85.962	85.962	473.572
	76	1	0.002	72.119	72.119	475.694
	76	2	0.002	86.063	86.063	473.23
	77	1	0.002	72.491	72.491	475.301
	77	2	0.002	86.667	86.667	472.895
	78	1	0.002	72.692	72.692	474.917
	78	2	0.002	87.667	87.667	472.569
	79	1	0.002	72.962	72.962	474.541
	79	2	0.002	89.069	89.069	472.251
	80	1	0.002	73.308	73.308	474.173
	80	2	0.002	90.774	90.774	471.941
	81	1	0.002	73.849	73.849	473.813
	81	2	0.002	92.761	92.761	471.64
	82	1	0.002	74.509	74.509	473.461
	82	2	0.002	94.893	94.893	471.346
	83	1	0.002	75.459	75.459	473.118
	83	2	0.002	97.17	97.17	471.061
	84	1	0.002	76.704	76.704	472.783
	84	2	0.002	99.396	99.396	470.785
	85	1	0.002	78.17	78.17	472.455
	85	2	0.002	101.692	101.692	470.517
	86	1	0.002	79.824	79.824	472.137
	86	2	0.002	103.969	103.969	470.257
	87	1	0.002	81.484	81.484	471.826
	87	2	0.002	106.164	106.164	470.005
	88	1	0.002	83.182	83.182	471.524
	88	2	0.002	108.075	108.075	469.762
	89	1	0.002	84.711	84.711	471.23
	89	2	0.002	109.711	109.711	469.527
	90	1	0.002	86.013	86.013	470.944
	90	2	0.002	110.887	110.887	469.301
	91	1	0.002	87.164	87.164	470.667
	91	2	0.002	111.465	111.465	469.083
	92	1	0.002	88.088	88.088	470.398
	92	2	0.002	111.321	111.321	468.874
	93	1	0.002	91.566	91.566	468.154
	93	2	0.002	110.434	110.434	468.673
	94	1	0.002	92.038	92.038	467.9
	94	2	0.002	108.629	108.629	468.48
	95	1	0.002	95.17	95.17	465.67
	95	2	0.002	106.019	106.019	468.296
	96	1	0.002	95.585	95.585	465.432
	96	2	0.002	102.962	102.962	468.12
	97	1	0.002	98.774	98.774	463.216
	97	2	0.002	99.648	99.648	467.953
	98	1	0.002	102.352	102.352	461.007
	98	2	0.002	96.252	96.252	467.795
	99	1	0.002	106.094	106.094	458.804
	99	2	0.002	93.075	93.075	467.644
	100	1	0.002	109.73	109.73	456.608
	100	2	0.002	90.239	90.239	467.503
	101	1	0.002	108.56	108.56	456.409
	101	2	0.002	87.78	87.78	467.37
	102	1	0.002	111.767	111.767	454.228
	102	2	0.002	84.038	84.038	469.241
	103	1	0.002	110.302	110.302	454.046
	103	2	0.002	82.956	82.956	469.126
	104	1	0.002	113.849	113.849	451.881
	104	2	0.002	82.138	82.138	469.019
	105	1	0.002	112.824	112.824	451.715
	105	2	0.002	81.579	81.579	468.92
	106	1	0.002	112.333	112.333	451.559
	106	2	0.002	81.226	81.226	468.83
	107	1	0.002	112.459	112.459	451.412
	107	2	0.002	81.113	81.113	468.748
	108	1	0.002	113.101	113.101	451.273
	108	2	0.002	81.164	81.164	468.675
	109	1	0.002	119.704	119.704	449.147
	109	2	0.002	81.591	81.591	468.611
	110	1	0.002	121.025	121.025	449.026
	110	2	0.002	82.371	82.371	468.555
	111	1	0.002	122.434	122.434	448.913
	111	2	0.002	83.258	83.258	466.508
	112	1	0.002	123.767	123.767	448.809
	112	2	0.002	84.925	84.925	466.469
	113	1	0.002	124.874	124.874	448.714
	113	2	0.002	88.233	88.233	464.438
	114	1	0.002	125.686	125.686	448.628
	114	2	0.002	91.094	91.094	464.416
	115	1	0.002	126.226	126.226	448.551
	115	2	0.002	94.126	94.126	464.403
	116	1	0.002	126.547	126.547	448.483
	116	2	0.002	99.881	99.881	462.398
	117	1	0.002	126.346	126.346	448.424
	117	2	0.002	102.761	102.761	462.402
	118	1	0.002	125.862	125.862	448.374
	118	2	0.002	109.182	109.182	460.414
	119	1	0.002	125.17	125.17	448.332
	119	2	0.002	110.937	110.937	460.436
	120	1	0.002	124.233	124.233	448.3
	120	2	0.002	116.327	116.327	458.466
	121	1	0.002	122.918	122.918	448.276
	121	2	0.002	116.113	116.113	458.504
	122	1	0.002	121.302	121.302	448.261
	122	2	0.002	119.239	119.239	456.553
	123	1	0.002	119.434	119.434	448.256
	123	2	0.002	116.843	116.843	456.609
	124	1	0.002	117.327	117.327	448.259
	124	2	0.002	113.893	113.893	456.674
	125	1	0.002	114.987	114.987	448.271
	125	2	0.002	110.566	110.566	456.748
	126	1	0.002	112.516	112.516	448.292
	126	2	0.002	106.975	106.975	456.831
	127	1	0.002	109.937	109.937	448.322
	127	2	0.002	103.365	103.365	456.922
	128	1	0.002	107.258	107.258	448.361
	128	2	0.002	99.723	99.723	457.022
	129	1	0.002	104.623	104.623	448.408
	129	2	0.002	96.239	96.239	457.131
	130	1	0.002	101.95	101.95	448.465
	130	2	0.002	92.893	92.893	457.249
	131	1	0.002	99.252	99.252	448.531
	131	2	0.002	89.849	89.849	457.375
	132	1	0.002	96.686	96.686	448.605
	132	2	0.002	87.22	87.22	457.51
	133	1	0.002	94.226	94.226	448.689
	133	2	0.002	85.05	85.05	457.654
	134	1	0.002	91.95	91.95	448.781
	134	2	0.002	83.283	83.283	457.806
	135	1	0.002	89.736	89.736	448.882
	135	2	0.002	81.981	81.981	457.967
	136	1	0.002	87.774	87.774	448.992
	136	2	0.002	81.239	81.239	458.137
	137	1	0.002	86.208	86.208	449.111
	137	2	0.002	81.038	81.038	458.315
	138	1	0.002	85.138	85.138	449.239
	138	2	0.002	81.333	81.333	458.503
	139	1	0.002	84.604	84.604	449.376
	139	2	0.002	82.17	82.17	458.698
	140	1	0.002	84.679	84.679	449.521
	140	2	0.002	83.44	83.44	458.903
	141	1	0.002	85.346	85.346	449.676
	141	2	0.002	85.019	85.019	459.116
	142	1	0.002	86.522	86.522	449.839
	142	2	0.002	87.006	87.006	459.337
	143	1	0.002	88.283	88.283	450.011
	143	2	0.002	89.22	89.22	459.567
	144	1	0.002	90.333	90.333	450.192
	144	2	0.002	91.497	91.497	459.806
	145	1	0.002	92.566	92.566	450.382
	145	2	0.002	93.704	93.704	460.054
	146	1	0.002	94.774	94.774	450.58
	146	2	0.002	95.855	95.855	460.309
	147	1	0.002	96.862	96.862	450.787
	147	2	0.002	97.874	97.874	460.574
	148	1	0.002	98.774	98.774	451.003
	148	2	0.002	99.585	99.585	460.847
	149	1	0.002	100.44	100.44	451.228
	149	2	0.002	101.075	101.075	461.128
	150	1	0.002	102.006	102.006	451.462
	150	2	0.002	102.258	102.258	461.418
	151	1	0.002	103.447	103.447	451.704
	151	2	0.002	103.258	103.258	461.717
	152	1	0.002	104.855	104.855	451.955
	152	2	0.002	104.151	104.151	462.024
	153	1	0.002	106.358	106.358	452.215
	153	2	0.002	104.881	104.881	462.339
	154	1	0.002	108.044	108.044	452.483
	154	2	0.002	105.635	105.635	462.663
	155	1	0.002	109.925	109.925	452.76
	155	2	0.002	106.516	106.516	462.995
	156	1	0.002	107.679	107.679	455.025
	156	2	0.002	107.528	107.528	463.336
	157	1	0.002	110.113	110.113	455.318
	157	2	0.002	108.742	108.742	463.685
	158	1	0.002	108.478	108.478	457.597
	158	2	0.002	110.233	110.233	464.042
	159	1	0.002	106.855	106.855	459.881
	159	2	0.002	112.082	112.082	464.408
	160	1	0.002	109.748	109.748	460.197
	160	2	0.002	114.252	114.252	464.782
	161	1	0.002	107.66	107.66	462.495
	161	2	0.002	116.736	116.736	465.164
	162	1	0.002	110.547	110.547	462.826
	162	2	0.002	119.415	119.415	465.555
	163	1	0.002	113.371	113.371	463.166
	163	2	0.002	122.233	122.233	465.953
	164	1	0.002	110.226	110.226	465.483
	164	2	0.002	125.025	125.025	466.361
	165	1	0.002	112.635	112.635	465.839
	165	2	0.002	123.824	123.824	468.732
	166	1	0.002	115.069	115.069	466.202
	166	2	0.002	126.396	126.396	469.153
	167	1	0.002	117.503	117.503	466.574
